lat	lon	Y	year
  -5.6089000e+01   1.7173600e+02  -1.2390596e-03   2.0120000e+03
  -5.4650000e+01   1.7088600e+02   8.3015816e-03   2.0120000e+03
  -6.0016000e+01   1.6561100e+02  -6.0993106e-03   2.0120000e+03
  -5.9569000e+01   1.6487900e+02   3.7672401e-02   2.0120000e+03
  -6.4051000e+01   1.7033400e+02   1.0068849e-01   2.0120000e+03
  -6.4238000e+01   1.7165400e+02   6.1643377e-02   2.0120000e+03
  -5.8077000e+01   1.6290800e+02  -2.3391252e-01   2.0120000e+03
  -5.9210000e+01   1.6233800e+02   1.3907781e-01   2.0120000e+03
  -6.0480000e+01   1.6264000e+02  -8.2978272e-02   2.0120000e+03
  -6.0568000e+01   1.6105600e+02   3.1603435e-02   2.0120000e+03
  -6.0780000e+01   1.6054600e+02   9.6140673e-02   2.0120000e+03
  -5.9116000e+01   1.6564400e+02  -1.0791170e-01   2.0130000e+03
  -5.9836000e+01   1.6677300e+02   1.2046518e-01   2.0130000e+03
  -5.8536000e+01   1.7736700e+02  -9.1367096e-02   2.0130000e+03
  -5.8006000e+01   1.7769600e+02  -7.0766549e-02   2.0130000e+03
  -5.8191000e+01   1.7842600e+02  -3.6843173e-02   2.0130000e+03
  -5.4909000e+01   1.6079100e+02  -2.2197960e-01   2.0130000e+03
  -5.6147000e+01   1.6457800e+02   3.3447067e-01   2.0130000e+03
  -5.7779000e+01   1.6702400e+02   1.3563910e-01   2.0130000e+03
  -5.5123000e+01   1.6613700e+02   1.5312605e-01   2.0130000e+03
  -5.0293000e+01   1.6031400e+02   9.9400003e-02   2.0130000e+03
  -5.7401000e+01   1.7877500e+02   4.1200069e-02   2.0130000e+03
  -5.7272000e+01   1.7946100e+02   8.5399980e-02   2.0130000e+03
  -5.7986000e+01   1.6989200e+02   1.0100008e-01   2.0130000e+03
  -5.8378000e+01   1.7343400e+02   3.0199914e-02   2.0130000e+03
  -5.8106000e+01   1.7662100e+02   5.8800018e-02   2.0130000e+03
  -5.9043000e+01   1.7705000e+02  -1.9999046e-03   2.0130000e+03
  -5.9136000e+01   1.7742300e+02  -2.0000030e-02   2.0130000e+03
  -5.8555000e+01   1.6477100e+02  -1.5333249e-02   2.0130000e+03
  -5.9452000e+01   1.6980200e+02   3.5461570e-02   2.0130000e+03
  -5.8597000e+01   1.7090500e+02  -4.3159922e-02   2.0130000e+03
  -5.9212000e+01   1.6966900e+02   5.3178667e-02   2.0130000e+03
  -5.7268000e+01   1.6674300e+02   1.0769344e-01   2.0130000e+03
  -5.7595000e+01   1.6972000e+02   1.4109531e-01   2.0130000e+03
  -5.7165000e+01   1.6872000e+02   1.2158569e-01   2.0130000e+03
  -5.9208000e+01   1.6144800e+02   2.0899996e-01   2.0130000e+03
  -5.1286000e+01   1.6197900e+02  -1.9375973e-01   2.0130000e+03
  -5.1085000e+01   1.6189400e+02  -1.5040007e-01   2.0130000e+03
  -5.1046000e+01   1.6292600e+02  -1.0370002e-01   2.0130000e+03
  -5.4088000e+01   1.7973900e+02   4.4000053e-02   2.0130000e+03
  -5.4181000e+01   1.7915900e+02   8.0085015e-02   2.0130000e+03
